1|Douglas, Jin Y.|(658) 338-5878|179,820€
2|Robbins, Karyn P.|(211) 639-8933|100,932€
3|Robles, Denise M.|(586) 698-5618|128,602€
4|Gilmore, Dahlia I.|(290) 244-9056|179,859€
5|Clements, Aiko C.|(675) 518-0939|173,640€
6|Valdez, Shafira H.|(555) 371-8743|127,038€
7|Castillo, Gail X.|(593) 641-0452|159,221€
8|Adams, Christen U.|(848) 367-8959|143,518€
9|Christensen, Dillon O.|(886) 999-1933|154,439€
10|Wilder, Marvin P.|(600) 465-7732|113,899€
11|Weiss, Roth M.|(674) 934-6859|199,692€
12|Hogan, Lacey Z.|(589) 172-1374|169,718€
13|Stokes, Grady P.|(753) 197-5907|182,914€
14|Sweeney, Kaseem P.|(940) 986-8287|115,068€
15|Avila, Elvis O.|(385) 402-9369|196,890€
16|Waller, Vivian S.|(964) 979-1604|151,593€
17|Mcbride, Shana H.|(671) 850-5477|107,385€
18|Massey, Todd L.|(812) 131-9746|189,745€
19|Cruz, Hiram X.|(513) 649-9692|187,645€
20|Benjamin, Patricia A.|(429) 764-9974|122,804€
21|William, Guy V.|(938) 416-2085|152,699€
22|Evans, Rogan M.|(170) 874-7989|162,271€
23|Hayden, Azalia S.|(359) 581-6952|184,918€
24|Campbell, Remedios L.|(588) 446-9686|186,569€
25|Whitehead, Hunter R.|(158) 128-3285|122,885€
26|Hess, Neville I.|(684) 996-2876|128,648€
27|Melendez, Colton R.|(568) 764-7003|125,130€
28|Charles, Reagan G.|(311) 819-5237|160,980€
29|Chambers, Victor P.|(281) 464-3685|126,430€
30|Holder, Dieter W.|(289) 946-0667|133,930€
31|Quinn, Perry F.|(914) 150-3036|144,743€
32|Bryant, Tatum R.|(233) 501-4236|180,905€
33|Guzman, Jin F.|(844) 261-8042|115,724€
34|Harmon, Hall H.|(899) 383-5256|174,771€
35|Hamilton, Cedric F.|(895) 548-4397|110,543€
36|Wilson, Yvette F.|(169) 763-5632|132,584€
37|Dodson, Ivor U.|(560) 272-1316|152,775€
38|Strickland, Sandra S.|(633) 369-6590|199,639€
39|Waters, Flynn H.|(840) 340-8947|194,176€
40|Kim, Jade H.|(589) 261-4011|147,567€
41|Russo, Bevis N.|(141) 622-3354|123,779€
42|Swanson, Roanna X.|(271) 216-1380|125,370€
43|Cruz, Cade X.|(762) 902-6533|107,070€
44|Moreno, Bianca R.|(298) 977-5369|166,590€
45|Medina, Carl I.|(606) 811-5035|131,455€
46|Holland, Beatrice G.|(396) 386-9373|134,302€
47|Walter, Reese X.|(550) 732-5786|128,303€
48|Arnold, Chastity B.|(615) 831-6140|129,376€
49|Washington, Blair N.|(877) 767-7679|129,934€
50|Cherry, Colleen V.|(855) 622-2972|173,860€
51|Ramsey, Lev J.|(282) 310-1970|188,852€
52|Prince, Adara E.|(181) 839-1195|153,863€
53|Gonzales, Madeson B.|(593) 976-8315|127,892€
54|Hensley, Renee Y.|(890) 848-4073|135,882€
55|Morales, Hedda C.|(600) 946-9975|141,156€
56|Cardenas, Remedios F.|(902) 262-3883|104,496€
57|Hensley, Sonya M.|(128) 874-1145|136,566€
58|Becker, Farrah K.|(934) 623-0948|130,801€
59|Sharpe, Regina U.|(635) 744-2860|179,472€
60|Nicholson, Zephr Q.|(836) 231-9034|155,372€
61|Garner, Elvis Y.|(853) 927-7904|102,522€
62|Vasquez, Devin D.|(789) 866-2577|165,595€
63|Bonner, Julie O.|(528) 900-2810|169,457€
64|Miles, Carolyn I.|(568) 694-5931|162,117€
65|Briggs, Colby C.|(582) 542-6902|178,068€
66|Romero, Hillary Y.|(455) 732-0275|132,473€
67|Barrera, Brent O.|(273) 455-1651|169,810€
68|Hale, Guy V.|(390) 555-3152|128,891€
69|Davidson, Peter M.|(505) 160-3588|149,003€
70|Leblanc, Ina F.|(398) 731-0206|141,855€
71|Campbell, Pearl H.|(370) 515-6830|162,258€
72|Cleveland, Davis U.|(465) 889-2532|150,285€
73|Wilkinson, Ulric J.|(880) 920-8166|124,437€
74|White, Xandra S.|(351) 810-6805|179,329€
75|Bright, Otto G.|(562) 154-5130|127,119€
76|White, Brittany N.|(359) 964-6226|162,851€
77|Hunt, Oprah D.|(949) 927-7622|196,615€
78|England, Roanna L.|(537) 668-3677|118,577€
79|Dunn, Lesley C.|(509) 674-2148|144,045€
80|Noel, Rinah L.|(187) 779-5963|176,678€
81|Marks, Malcolm L.|(250) 348-7900|107,854€
82|Wilkerson, Eliana E.|(988) 924-4237|160,992€
83|Crane, Isabelle O.|(709) 440-7457|129,049€
84|Aguirre, Suki N.|(925) 240-7233|182,626€
85|Mitchell, Linus H.|(233) 733-8931|169,104€
86|Chapman, Sebastian Q.|(127) 129-4938|186,568€
87|Espinoza, Heather Q.|(438) 405-8370|134,059€
88|Carrillo, Cairo A.|(817) 688-0219|149,819€
89|Trujillo, Shoshana U.|(384) 542-1757|144,051€
90|Key, Prescott L.|(983) 965-0919|120,575€
91|Rocha, Isaac V.|(328) 697-2045|182,844€
92|Burks, Wallace S.|(373) 754-8964|190,852€
93|Morrow, Vanna L.|(663) 360-7656|158,040€
94|Hudson, Evan U.|(365) 131-2065|179,983€
95|Rocha, Ferris I.|(398) 268-8486|155,162€
96|Frazier, Gray S.|(767) 150-6745|102,353€
97|Hays, Alan O.|(819) 635-7399|193,444€
98|England, Linda I.|(424) 564-8456|106,063€
99|Olson, Scarlet J.|(335) 398-5331|141,405€
100|Nicholson, Nero B.|(698) 825-7637|101,192€
